#,State,Entity,Filing / Report,Regulatory Body,Reporting Group,Category,Due Date,Frequency,VPT Applicability,Status,Owner,Notes
25,WA,VPT,Combined Excise Tax Return - 'No Business' (monthly),WA Dept. of Revenue,Financial,State Tax Filing,25th of following month,Monthly,Active - VPT files,RECURRING - confirm account ID & monthly frequency,Finance,File 'no business' return each month even with no income. E-file My DOR / 360-705-6705.
26,WA,VPT,Title Agent Data Report,WA Office of Insurance Commissioner,Financial,Statistical / Data Call,May 31,Annual,Bond state - verify reporting,Verify if WA title-licensed,Finance,Filed with Preston CPA PC.
27,WA,VPT,Report of Affiliated Business Ownership,WA Office of Insurance Commissioner,Non-Financial,Disclosure Filing,March 15,Annual,Bond state - verify reporting,Verify if WA title-licensed,Finance,
28,OH,VPT,Annual Title Agent Review (Form INS3283),Ohio Dept. of Insurance,Financial,Escrow/Trust Audit,January (annual),Annual,Bond state - verify reporting,Verify (OH bond held),Independent reviewer,3-way reconciliation. Exemption form INS3284 if no escrow.
29,KS,VPT,Annual Escrow Account Audit,Kansas Insurance Department,Financial,Escrow/Trust Audit,Upon request,Annual,Bond state - verify reporting,Verify (KS bond held),CPA / insurer,
30,MD,VPT,MAHT Annual Report,MD Affordable Housing Trust / MIA,Financial,Trust Account Report,March 31,Annual,Bond state - verify reporting,Verify (MD bond held),Finance,Interest earned & service charges on MAHT accounts. MAHT.DHCD@maryland.gov.
31,VA,VPT,RESA Audit (Annual Escrow Account Audit),Virginia Bureau of Insurance (SCC),Financial,Escrow/Trust Audit,Submitted 2/18/2026; amended Schedule A due 7/30/2026,Annual,Active - VA license #126373,OPEN - audit INCOMPLETE; amended Schedule A w/ WV escrow account due 7/30 or referred to management,Natalie/Brandy/Finance,"Routed via Stewart (John Wolf). Brandy VanOchten says she responded 7/21 w/ Schedule A. Confirm it reached Wolf+Bureau portal. WV escrow account is the last open deficiency."
32,NE,VPT,On-Site Review Report,Nebraska Dept. of Insurance,Non-Financial,Compliance Review,Annual (insurer-maintained),Annual,Bond state - verify reporting,Insurer-maintained (NE bond held),Underwriter,
33,NV,VPT,Annual Agent Certification,Nevada Division of Insurance,Non-Financial,Certification,January 1,Annual,Reference - if licensed,Verify if NV-licensed,HR / Finance,Certify appointed agents/escrow officers/non-clerical staff. NV office in Las Vegas.
34,IL,VPT,Annual Registration of Title Agents (AR-20),IL DFPR,Non-Financial,Statistical / Data Call,Annual,Annual,Reference - if licensed,Underwriter-filed,Underwriter,
35,NY,VPT,Annual Data Call (Revenue & Expense),NY Dept. of Financial Services,Financial,Statistical / Data Call,Corps submit by May 30,Annual,Reference - if licensed,Underwriter / TIRSA,Underwriter,
36,NJ,VPT,Annual Licensee Report,NJ Dept. of Banking & Insurance,Non-Financial,Annual Report,May 1,Annual,Reference - if licensed,Verify if NJ-licensed,Finance,
37,CO,VPT,Affiliated Business Arrangement Disclosure,CO Division of Insurance,Non-Financial,Disclosure Filing,At licensure/renewal/within 30 days of changes,Ongoing,Reference - if licensed,Verify if CO-licensed,Dan,
38,MO,VPT,Annual On-Site Review (Forms T-6A/T-6B),MO Dept. of Commerce & Insurance,Non-Financial,Compliance Review,Annual,Annual,Reference - if licensed,Underwriter-filed,Underwriter,
39,OK,VPT,Policy Inventory Audit,Oklahoma Insurance Department,Non-Financial,Compliance Audit,At least every 2 years,Biennial,Reference - if licensed,Verify if OK-licensed,Underwriter,
40,WY,VPT,Report of Financial Interest,Wyoming Dept. of Insurance,Non-Financial,Disclosure Filing,Upon license renewal,Annual,Reference - if licensed,Verify if WY-licensed,Finance,
